seed,coverage_radius,p95_threshold,overall_auroc,overall_ap,broken_large_auroc,broken_large_ap,broken_small_auroc,broken_small_ap,contamination_auroc,contamination_ap,p95_tp,p95_fp,p95_tn,p95_fn,p95_precision,p95_recall,p95_fpr,p95_f1
42,3.511911392211914,4.214628219604492,0.9849206349206349,0.9954414369538642,1.0,1.0,1.0,1.0,0.9547619047619047,0.9621027205695398,56,0,20,7,1.0,0.8888888888888888,0.0,0.9411764705882353
43,3.462557792663574,4.267017364501953,0.9857142857142857,0.9953562625575485,0.995,0.9951190476190477,0.990909090909091,0.9919815033451396,0.9714285714285713,0.9738403841068592,51,0,20,12,1.0,0.8095238095238095,0.0,0.8947368421052632
44,3.5151681900024414,4.180561542510986,0.969047619047619,0.990958084739245,1.0,1.0,0.9977272727272727,0.9980237154150197,0.9095238095238095,0.9310109272515288,56,0,20,7,1.0,0.8888888888888888,0.0,0.9411764705882353
45,3.5241057872772217,4.1191511154174805,0.9484126984126984,0.9817856642438518,0.9575,0.9559113936122956,0.9568181818181818,0.9576438554253076,0.9309523809523809,0.9406850464684868,58,3,17,5,0.9508196721311475,0.9206349206349206,0.15,0.9354838709677418
46,3.4610695838928223,4.25798225402832,0.9571428571428572,0.9840110923397871,0.96,0.950721508892612,0.9681818181818181,0.9702297524307552,0.9428571428571428,0.9437111295651668,54,3,17,9,0.9473684210526315,0.8571428571428571,0.15,0.9
