variant,num_predictions,num_gt,true_positive,background_fp,classification_error,localization_error,duplicate_detection,missed_gt,simplified_precision_iou50,simplified_recall_iou50,simplified_f1_iou50
baseline,16949,3799,3302,8820,1069,3416,342,497,0.1948197533777804,0.8691760989734141,0.3182957393483709
conf080,3078,3799,2378,392,38,255,15,1421,0.7725795971410007,0.6259541984732825,0.6915806310891377
nms030,13153,3799,3159,7315,938,1729,12,640,0.2401733444841481,0.8315346143722032,0.37269938650306744
res400,16434,3799,3110,8470,1110,3371,373,689,0.18924181574783985,0.818636483285075,0.30741857361735775
