layer,overall_auroc_mean,overall_auroc_std,overall_auroc_min,overall_auroc_max,overall_ap_mean,overall_ap_std,overall_ap_min,overall_ap_max,broken_large_auroc_mean,broken_large_auroc_std,broken_large_auroc_min,broken_large_auroc_max,broken_small_auroc_mean,broken_small_auroc_std,broken_small_auroc_min,broken_small_auroc_max,contamination_auroc_mean,contamination_auroc_std,contamination_auroc_min,contamination_auroc_max,p95_recall_mean,p95_recall_std,p95_recall_min,p95_recall_max,p95_fpr_mean,p95_fpr_std,p95_fpr_min,p95_fpr_max
layer2,0.969047619047619,0.01656241012278506,0.9484126984126984,0.9857142857142857,0.9895105081668594,0.006351398009091837,0.9817856642438518,0.9954414369538642,0.9825,0.02179449471770337,0.9575,1.0,0.9827272727272727,0.019190756211440514,0.9568181818181818,1.0,0.9419047619047618,0.023485895801252717,0.9095238095238095,0.9714285714285713,0.873015873015873,0.04199605255658078,0.8095238095238095,0.9206349206349206,0.06,0.08215838362577492,0.0,0.15
layer3,0.9973015873015874,0.004031246063238174,0.9904761904761905,1.0,0.9992038116288637,0.0011516510608834437,0.9972832722832721,0.9999999999999998,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.991904761904762,0.012093738189714525,0.9714285714285715,1.0,0.9873015873015872,0.013280317881493269,0.9682539682539683,1.0,0.02,0.027386127875258306,0.0,0.05
