category_id,category_name,gt_count,AP_50_95,AP_50
1,person,1186,0.6100158020374216,0.8721113808318847
2,bicycle,47,0.4040087856112027,0.7035052389676392
3,car,214,0.5471975486571384,0.8276442168336262
4,motorcycle,23,0.6273889536159153,0.8986961257702121
5,airplane,29,0.7446872180244413,0.9036707752407894
6,bus,23,0.6931083484288278,0.8800677436164669
7,train,13,0.557032060348892,0.8891089108910892
8,truck,55,0.3698489413903982,0.5709145100948885
9,boat,48,0.31153014627857933,0.5400136175531741
10,traffic light,76,0.3584077164060167,0.6459263344417451
11,fire hydrant,7,0.7742574257425743,0.8514851485148515
13,stop sign,5,0.5874587458745876,0.6605374823196606
14,parking meter,11,0.6934158415841585,0.900990099009901
15,bench,42,0.34090418500386893,0.6017216870671448
16,bird,21,0.49198456768753795,0.8540704070407041
17,cat,24,0.6912461081334087,0.9745346229668748
18,dog,19,0.6492059794214716,0.8380896913220734
19,horse,29,0.6837300269008627,0.8676462884383676
20,sheep,24,0.36300816986460543,0.6501416808347501
21,cow,43,0.6869044070192946,0.8629881964143068
22,elephant,25,0.6504540228458935,0.9233231593836074
23,bear,3,0.799009900990099,1.0
24,zebra,27,0.6973120932588895,0.9331306790003185
25,giraffe,16,0.8180759957863919,1.0
27,backpack,54,0.2574915327209322,0.4770036861413838
28,umbrella,38,0.4368071412269346,0.6459393903158719
31,handbag,60,0.24802316683030842,0.45251939314640843
32,tie,44,0.3156196786351042,0.5054655706239098
33,suitcase,20,0.4850653014243547,0.7823201799109794
34,frisbee,14,0.5213028445701713,0.6672167216721672
35,skis,34,0.27697267999806996,0.5036479031158723
36,snowboard,9,0.4633935158221704,0.6290234905843526
37,sports ball,15,0.5306035015266232,0.7288015566262507
38,kite,41,0.5269524368167766,0.7347345617683334
39,baseball bat,7,0.7258663366336634,0.9814356435643564
40,baseball glove,7,0.4638613861386139,0.7128712871287128
41,skateboard,30,0.5019334659529583,0.7627978019476824
42,surfboard,28,0.32079222482687825,0.5283759145145284
43,tennis racket,23,0.5176420566426391,0.7394864192301583
44,bottle,124,0.415321467716048,0.5958590423509345
46,wine glass,32,0.4568700433635314,0.8206833386041306
47,cup,124,0.5612761920053732,0.7582284157027481
48,fork,30,0.3630884405690666,0.7126078246173512
49,knife,39,0.2500647562725077,0.3848921015718286
50,spoon,40,0.252227164968826,0.3611488302222742
51,bowl,77,0.40694954014228935,0.59352284627878
52,banana,24,0.26030193549187225,0.5067043291724946
53,apple,38,0.3168999030684301,0.44824840422422335
54,sandwich,27,0.2878078615314948,0.38728169711381083
55,orange,16,0.33908585395886304,0.41924947232738885
56,broccoli,24,0.3456304341861705,0.5495458383634856
57,carrot,32,0.26692965611800973,0.5273871199292544
58,hot dog,10,0.46055724803249554,0.661930149058862
59,pizza,21,0.599894844795835,0.7522451727229698
60,donut,36,0.27581384329587333,0.4367486300868893
61,cake,53,0.4427764775078532,0.7201207737526139
62,chair,161,0.34759103177992473,0.574647629986545
63,couch,11,0.363334626015793,0.4199357010169102
64,potted plant,27,0.3901798465560842,0.6705101499160905
65,bed,19,0.17607465600996583,0.3888329854359216
67,dining table,78,0.4172237825062766,0.6087664864477337
70,toilet,23,0.6927963738100748,0.8630432816087513
72,tv,24,0.5649470093943632,0.8887262669928964
73,laptop,16,0.773581492764661,0.9232673267326733
74,mouse,13,0.6755445544554455,0.8838991041961338
75,remote,22,0.3427960804175349,0.553056400104552
76,keyboard,18,0.7934618936683585,0.9211015891505115
77,cell phone,31,0.47054583085355345,0.7416864708431723
78,microwave,5,0.5297029702970297,0.801980198019802
79,oven,12,0.5578911737327579,0.7492595413387492
80,toaster,1,0.8999999999999999,0.9999999999999999
81,sink,19,0.34866597770888197,0.48971119334155633
82,refrigerator,13,0.8048965473470424,1.0
84,book,88,0.23805444258732603,0.45955490621477724
85,clock,33,0.4995838897883693,0.6855797186861544
86,vase,28,0.33527031320170936,0.457180708395917
87,scissors,2,0.32623762376237625,1.0
88,teddy bear,15,0.5941222273487853,0.9361642046557594
89,hair drier,0,nan,nan
90,toothbrush,2,0.4039603960396039,0.5049504950495048
