aggregation,p95_threshold,overall_auroc,overall_ap,broken_large_auroc,broken_small_auroc,contamination_auroc,p95_tp,p95_fp,p95_tn,p95_fn,p95_precision,p95_recall,p95_fpr,p95_f1,fn_broken_large,fn_broken_small,fn_contamination
max,4.214628219604492,0.9849206349206349,0.9954414369538642,1.0,1.0,0.9547619047619047,56,0,20,7,1.0,0.8888888888888888,0.0,0.9411764705882353,2,0,5
top5_mean,3.747912645339966,0.9936507936507936,0.9981117687322187,1.0,1.0,0.9809523809523809,60,0,20,3,1.0,0.9523809523809523,0.0,0.975609756097561,0,0,3
top20_mean,3.4796833992004395,0.9968253968253968,0.9990036304936458,1.0,1.0,0.9904761904761905,62,2,18,1,0.96875,0.9841269841269841,0.1,0.9763779527559054,0,0,1
mean,2.5234079360961914,0.9468253968253969,0.9839293649028369,0.9974999999999999,0.8886363636363637,0.9595238095238094,59,9,11,4,0.8676470588235294,0.9365079365079365,0.45,0.9007633587786259,0,3,1
